SALEQ|OperatingRevenueAccount
COGSQ|CostRevenueAccount
ATQ|TotalAssetsAccount
ACTQ|CurrentAssetsAccount
APQ|AccountsPayableAccount
CEQQ|TotalEquityCapitalAccount
CHEQ|CashShortTermInvestmentsAccount
DLTTQ|DebtObligationsLongTermAccount
EPSPIQ|EPSAccount
INTANQ|IntangibleAssetsAccount
INVTQ|InventoriesNetAccount
LCTQ|CurrentLiabilitiesAccount
LTQ|TotalLiabilitiesAccount
NIQ|NetIncomeAccount
OIADPQ|OperatingProfitAccount
OIBDPQ|EBITDAAccount
PPENTQ|PropertyPlantEquipmentAccount
RECTRQ|ReceivablesNetAccount
XINTQ|NetInterestExpenseAccount
XRDQ|ResearchDevelopmentAccount
gsubind|GICSAccount
